Letter,First,Not_First,Only,W1,W2A,Anywhere,Mean_Ls
=== ALL ===,,,,,,,
B,17796602,13510161,6205745,17959994.6,18060320.0,49026720,2.705
C,12576466,1435404,5249917,9391905.1,8546451.3,15110852,2.313
N,10708481,18124458,4122560,13538188.5,14423627.7,41574394,2.531
R,5303862,9896044,1226602,6121773.8,6287069.4,19265427,3.076
E,2560585,6780460,154461,2652729.2,2707177.6,10578326,3.721
D,1731012,2394730,333975,1636478.7,1564975.8,4893219,3.391
V,1004208,165605,58208,565620.9,369701.2,1170502,4.096
P,1229766,241136,171918,1140457.6,1087439.6,3706751,3.664
T,915063,2158279,426968,1341392.8,1418578.7,3632950,2.283
S,762121,1662187,141309,957756.6,1080696.1,3188126,2.193
A,676440,679715,154433,547244.1,512034.6,1481245,3.05
X,464693,417767,352,293757.7,251262.0,889894,3.51
F,654100,159415,161,350802.5,225352.7,814304,4.184
H,396530,4118,275,199908.8,139746.9,407019,3.179
U,206902,1075042,160,288820.1,312397.4,1331751,4.641
All,56986831,58704521,18247044,56986831.0,56986831.0,157071480,
,,,,,,,
=== LT65 ===,,,,,,,
B,3311687,2870974,1225284,3395525.4,3425275.1,9077415,2.625
C,3634924,217427,1621906,2743722.9,2523984.3,4207771,2.185
N,2085650,4228619,868699,2889967.4,3136284.5,9140123,2.46
R,808320,2139295,163601,1074148.0,1146976.1,3768488,3.206
E,721155,1548828,65238,714640.0,713138.4,2598744,3.527
D,531999,854850,124906,560901.8,557251.7,1692976,3.204
V,248498,31601,15369,138176.1,88707.2,280189,4.11
P,1159365,205731,164453,1076275.0,1027318.4,3470979,3.628
T,744519,1271798,353822,1032222.0,1063002.5,2445438,2.212
S,621795,725600,108243,641902.4,692616.4,1831480,2.183
A,525985,515548,125477,426383.3,401898.1,1148810,2.973
X,292773,103083,245,161605.8,132391.2,400597,3.159
F,99661,14162,23,51905.9,34946.8,113918,3.804
H,376112,2709,256,189343.3,132181.2,384371,3.171
U,62828,506440,131,128551.8,149299.4,598091,4.188
All,15225271,15236665,4837653,15225271.0,15225271.0,41159390,
,,,,,,,
=== GE65 ===,,,,,,,
B,14484915,10639187,4980461,14564469.1,14635045.0,39949305,2.723
C,8941542,1217977,3628011,6648182.2,6022467.0,10903081,2.365
N,8622831,13895839,3253861,10648221.1,11287343.3,32434271,2.549
R,4495542,7756749,1063001,5047625.8,5140093.3,15496939,3.052
E,1839430,5231632,89223,1938089.2,1994039.2,7979582,3.797
D,1199013,1539880,209069,1075577.0,1007724.0,3200243,3.475
V,755710,134004,42839,427444.8,280994.0,890313,4.091
P,70401,35405,7465,64182.6,60121.2,235772,4.265
T,170544,886481,73146,309170.8,355576.2,1187512,2.595
S,140326,936587,33066,315854.1,388079.7,1356646,2.239
A,150455,164167,28956,120860.8,110136.5,332435,3.32
X,171920,314684,107,132152.0,118870.8,489297,4.108
F,554439,145253,138,298896.5,190405.9,700386,4.252
H,20418,1409,19,10565.6,7565.8,22648,3.325
U,144074,568602,29,160268.3,163098.0,733660,4.838
All,41761560,43467856,13409391,41761560.0,41761560.0,115912090,
,,,,,,,
